{ level: 'log', pid: 57625, timestamp: 1776372927726, correlationId: '04d94fef-85b7-4dd0-9e15-fd31c7d47c2b', message: { namespace: 'github-token', key: '124532566' }, context: 'CacheService' }
{ level: 'debug', pid: 57625, timestamp: 1776372928167, correlationId: '19823d48-ecbf-45c5-84d9-52fc3d89d4a5', message: 'Upserted 97 commits', context: 'GithubCommitModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372930079, correlationId: 'd00dd0ba-4103-4def-b55f-b7bcbfeea6d0', message: 'Upserted review 4123167910 for pull request 72274a07-0ad9-4800-9db5-31339becd6a8', context: 'GithubReviewModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372930475, correlationId: '2922487c-962f-47a8-af87-38ea78a5a484', message: 'Backfilled PRs for no-name-proj-dev-test/api-service', context: 'GithubEventProcessor' }
{ level: 'debug', pid: 57625, timestamp: 1776372930475, correlationId: '8b6bac8e-0d45-4560-936e-03eb96752493', message: 'Backfill complete for repo no-name-proj-dev-test/api-service', context: 'GithubEventProcessor' }
{ level: 'debug', pid: 57625, timestamp: 1776372930477, correlationId: '7b7d2934-cc07-4a23-9728-5a300c41f20f', message: 'Starting backfill for repo no-name-proj-dev-test/frontend-app', context: 'GithubEventProcessor' }
{ level: 'log', pid: 57625, timestamp: 1776372930479, correlationId: '6a7e97b6-fd83-4819-abab-7e0e6545eed7', message: 'Cache hit', context: 'CacheService' }
{ level: 'log', pid: 57625, timestamp: 1776372930479, correlationId: '6a7e97b6-fd83-4819-abab-7e0e6545eed7', message: { namespace: 'github-token', key: '124532566' }, context: 'CacheService' }
{ level: 'debug', pid: 57625, timestamp: 1776372930999, correlationId: '3f4f49f3-3ed4-4311-9e58-d21346a4987f', message: 'Upserted 97 commits', context: 'GithubCommitModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372930999, correlationId: 'c127120b-7daa-46e7-9892-8e805790733e', message: 'Backfilled commits for no-name-proj-dev-test/frontend-app', context: 'GithubEventProcessor' }
{ level: 'debug', pid: 57625, timestamp: 1776372931329, correlationId: '5c1b791d-3569-4cba-96de-df4bb18e4eac', message: 'Upserted contributor 4thwithme for installation 4ac7754e-1cd5-4eba-8793-6347da70979c', context: 'GithubContributorModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372931332, correlationId: '50cecede-42af-4b1c-acb7-ed997923f84c', message: 'Upserted pull request #3 for repo e79c8719-460a-4a5b-8106-a06706c9b5fd', context: 'GithubPullRequestModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372931824, correlationId: 'ce41cc74-c795-43b5-869b-60ba4c65583e', message: 'Upserted contributor 4thwithme for installation 4ac7754e-1cd5-4eba-8793-6347da70979c', context: 'GithubContributorModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372931829, correlationId: '6eb916bf-9234-43ef-aea0-9f910ff5c499', message: 'Upserted review 4123174078 for pull request 75647b6b-9cf5-4168-bdbb-e3de4ee321c2', context: 'GithubReviewModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932060, correlationId: '65a732ec-cd25-4283-a70d-fe1a1e0a7435', message: 'Upserted contributor 4thwithme for installation 4ac7754e-1cd5-4eba-8793-6347da70979c', context: 'GithubContributorModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932063, correlationId: 'b308c594-72e6-452e-a65b-65a8e6e1c9ab', message: 'Upserted pull request #2 for repo e79c8719-460a-4a5b-8106-a06706c9b5fd', context: 'GithubPullRequestModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932582, correlationId: '288f9820-89cc-41c9-9bfe-c40f77241dd8', message: 'Upserted contributor 4thwithme for installation 4ac7754e-1cd5-4eba-8793-6347da70979c', context: 'GithubContributorModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932585, correlationId: '7c1452a6-a4d6-4dc9-a2ac-2d214bde8ad3', message: 'Upserted pull request #1 for repo e79c8719-460a-4a5b-8106-a06706c9b5fd', context: 'GithubPullRequestModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932979, correlationId: '8f57e495-da0f-4429-9abf-0795b8f8e680', message: 'Upserted contributor 4thwithme for installation 4ac7754e-1cd5-4eba-8793-6347da70979c', context: 'GithubContributorModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372932982, correlationId: 'e221cbdd-e90c-4618-8ac6-2e5ee6c3cd56', message: 'Upserted review 4123172000 for pull request 4dd93751-e9e3-4aac-8534-4001e2c6f20f', context: 'GithubReviewModel' }
{ level: 'debug', pid: 57625, timestamp: 1776372933293, correlationId: '1e42e768-cab3-424a-bdd7-53bb3cc9d8f6', message: 'Backfilled PRs for no-name-proj-dev-test/frontend-app', context: 'GithubEventProcessor' }
{ level: 'debug', pid: 57625, timestamp: 1776372933293, correlationId: 'b5aee887-48a5-427c-a78f-e39d76b8043c', message: 'Backfill complete for repo no-name-proj-dev-test/frontend-app', context: 'GithubEventProcessor' }
